Nazwa | Cena
Kebab z kurczaka|12,00 €
Kebab z baraniny|14,00 €
Kebab z mięsem mieszanym|13,00 €
Mega Kebab z kurczaka|20,00 €
Mega Kebab z baraniny|20,00 €
Mega Kebab z mięsem mieszanym|20,00 €
Kebab falafel|10,00 €
Mega danie z mięsem mieszanym|27,00 €
Kebab Box z kurczakiem|12,00 €
Kebab Box z baraniną|14,00 €
Kebab Box z mięsem mieszanym|14,00 €
Mega danie z baraniną|27,00 €
Mega danie z kurczakiem|27,00 €
Danie z kurczaka|18,00 €
Danie z baraniny|19,00 €
Danie z mięsem mieszanym|19,00 €
Mega Danie z kurczaka|27,00 €
Mega Danie z baraniny|27,00 €
Mega Danie z mięsem mieszanym|27,00 €
Danie kebab falafel|18,00 €
Frytki|7,00 €
Baklawa|5,00 €
Ayran|3,00 €
Sok Mango|4,00 €
Coca-Cola Original Taste 0,5 L|4,00 €
Fanta pomarańczowa 0,5 L|4,00 €
Sprite 0,5 L|4,00 €
Kropla Beskidu (niegazowana) 0,5 L|3,00 €
Kropla Beskidu (gazowana) 0,5 L|3,00 €
Pierrot 0,5 L|5,00 €
