Nazwa | Składniki | Cena | Link
Zestaw Jumanji|California krab sezam, California tempura, Chicken spicy, Futomaki|110 |/upload/iblock/2e6/2e655b2d7b01f8f7c408526e7011d50a.jpg
Zestaw Wybuch Łososiowy|Phila light, Philadelphia light, Tokio, Delikatny z łososiem, Philadelphia|100 |/upload/iblock/8e2/8e2f08a00438422646d5282ba169e50e.jpg
Zestaw Złota Rybka|Mijagi
, Chicken Spicy, Maki takuan
, Philadelphia Light
, Philadelphia|103 |/upload/iblock/058/05853f6a179db751d742cec25d2b9686.jpg
Zestaw Imprezowy|California sezam krab, Tobiko, Futomaki z łososiem, Maki z łososiem|82 |/upload/iblock/f33/f33686b3d9ee2e348e6cc7d864d90853.jpg
Zestaw Phila|Phila light, Kunsei, Futomaki z łososiem, Maki z łososiem i serem,|73 |/upload/iblock/790/7906555dd8df063a3e4b7236454b302d.jpg
Zestaw Śnieżka|Phila light, philadelphia light, chicken spicy, delikatny z serem,|116 |/upload/iblock/b5a/b5a2e6ddf25de4985031791305ebdeeb.jpg
Zestaw Miłość w Zakopanem|Phila light, philadelphia light, meriland, futomaki z łososiem tempuram|126 |/upload/iblock/9a1/9a129e57dae64b66e9c62f495e2d71a6.jpg
