Nazwa | Cena
Kebab z kurczaka|12 
Kebab z baraniny|14 
Kebab z mięsem mieszanym|13 
Mega Kebab z kurczaka|20 
Mega Kebab z baraniny|20 
Mega Kebab z mięsem mieszanym|20 
Kebab falafel|10 
Mega danie z mięsem mieszanym|27 
Kebab Box z kurczakiem|12 
Kebab Box z baraniną|14 
Kebab Box z mięsem mieszanym|14 
Mega danie z baraniną|27 
Mega danie z kurczakiem|27 
Danie z kurczaka|18 
Danie z baraniny|19 
Danie z mięsem mieszanym|19 
Mega Danie z kurczaka|27 
Mega Danie z baraniny|27 
Danie kebab falafel|18 
Frytki|7 
Baklawa|5 
Ayran|3 
Sok Mango|4 
Coca-Cola Original Taste 0,5 L|4 
Fanta pomarańczowa 0,5 L|4 
Sprite 0,5 L|4 
Kropla Beskidu (niegazowana) 0,5 L|3 
Kropla Beskidu (gazowana) 0,5 L|3 
Pierrot 0,5 L|5 
