Nazwa | Opis |Cena
Zestaw Dnia TANIEJ!|Rosół + Schab w sosie chrzanowym, ziemniaki, surówka z kapusty pekińskiej| 17,00
Zupa Dnia|Rosół| 7,00
Danie Dnia|Schab w sosie chrzanowym, ziemniaki, surówka z kapusty pekińskiej| 15,00
Rosół || 9,00
Krupnik|| 7,00
Corn dog|2 szt. parówek w cieście kukurydzianym + sos czosnkowy| 9,00
Buła Chłopa|Bułka, stek mielony, duszona cebulka, musztarda| 12,00
Burrito|| 11,00
Frytki|| 6,50
Quesadilla z frytkami|kurczak, ser zółty, sos barbecue | 19,00
Jajka sadzone|ryż lub ziemniaki, warzywa na parze| 15,00
Fit kurczak na parze|150 g| 10,30
Grillowany filet z kurczaka|150 g| 10,80
Filet z piersi kurczaka |150 g| 10,30
Filet z piersi kurczaka zapiekany z pieczarkami i serem|180 g| 12,30
Kotlet schabowy|150 g| 11,30
Kotlet schabowy zapiekany z pieczarkami i serem|180 g| 13,30
Fasolka po bretońsku|ziemniaki| 14,00
Frytki|| 6,50
Nuggetsy z frytkami, surówka|5 szt.| 13,00
Paluszki rybne z frytkami, surówka|3 szt.| 13,00
Filet z dorsza|150 g| 11,30
Fit filet z dorsza na parze|150 g| 11,30
Grillowany filet z dorsza|150 g| 11,80
Fit łosoś na parze|| 8,90
Grillowany łosoś|| 8,90
Makaron Penne z kurczakiem w sosie brokułowo-serowym|| 17,00
Spaghetti Bolognese|| 17,00
Naleśniki z serem|3szt| 16,00
Naleśniki z dżemem|3szt| 16,00
Woda niegazowana "Nestle pure life" 0,5L|| 2,00
Woda gazowana "Krystaliczne źródło" 0,5L|| 2,00
Toma sok 0,33L|Jabłko, Pomarańcza, Multiwitamina| 3,00
Pepsi, Mirinda 0,5L|| 5,00
Monster Energy 0,5L|| 6,00
Napój energetyczny Tiger 0,25L|| 4,00
Napój energetyczny Rockstar 0,25L|| 3,50
Naturalne soki 0,33L|Ananas, Jabłko-brzoskwinia-mango, Jabłko-mango, Jabłko-granat, Jabłko-imbir| 6,50
7days|Rogalik z nadzieniem kakaowym| 3,00
Prince Polo XXL|Classic| 2,50
Princessa longa|Mleczna| 2,50
Twix|| 2,50
